is_hit,pred_prob,batter_name,game_date,game_season,batSide,pitcher_hand,batting_order,weather_condition,weather_temp,weight,height_in_inches,strikeZoneTop,strikeZoneBottom,last_season_ba
0,0.2708,Player_004,2023-05-18,2023,S,R,2,Overcast,63.0,177.0,70.0,3.64,1.66,0.28
1,0.2494,Player_014,2024-09-14,2024,R,R,3,Sunny,85.0,232.0,71.0,3.35,1.76,0.259
0,0.2137,Player_008,2022-09-22,2022,R,R,1,Sunny,71.0,182.0,77.0,3.57,1.74,0.281
0,0.4357,Player_023,2024-05-25,2024,L,R,3,Drizzle,82.0,225.0,76.0,3.46,1.76,0.298
1,0.2836,Player_030,2023-07-01,2023,R,R,4,Sunny,85.0,237.0,70.0,3.57,1.73,0.231
0,0.1784,Player_039,2023-07-14,2023,L,R,7,Drizzle,91.0,229.0,77.0,3.65,1.78,0.315
1,0.3229,Player_035,2022-07-24,2022,L,R,8,Sunny,58.0,206.0,76.0,3.56,1.55,0.28
0,0.3344,Player_012,2024-09-02,2024,R,L,5,Sunny,68.0,211.0,70.0,3.36,1.69,0.258
0,0.261,Player_037,2023-04-20,2023,R,L,9,Cloudy,59.0,221.0,73.0,3.47,1.52,0.318
1,0.2169,Player_037,2023-07-04,2023,S,R,4,Sunny,70.0,189.0,71.0,3.52,1.65,0.301
0,0.2006,Player_020,2024-05-08,2024,L,L,5,Sunny,69.0,202.0,75.0,3.35,1.76,0.236
0,0.2358,Player_008,2024-08-13,2024,L,R,6,Cloudy,89.0,199.0,75.0,3.56,1.72,0.229
1,0.3865,Player_031,2024-07-16,2024,R,R,2,Sunny,83.0,192.0,71.0,3.59,1.67,0.312
1,0.265,Player_004,2024-08-12,2024,L,L,4,Sunny,59.0,210.0,76.0,3.61,1.71,0.278
1,0.1825,Player_014,2022-09-10,2022,L,R,9,Overcast,72.0,202.0,72.0,3.35,1.55,0.266
0,0.2769,Player_021,2024-08-20,2024,R,L,5,Cloudy,83.0,176.0,73.0,3.58,1.78,0.228
0,0.3099,Player_034,2023-09-01,2023,L,R,9,Cloudy,84.0,180.0,70.0,3.45,1.56,0.274
0,0.2486,Player_039,2024-08-23,2024,R,R,7,Cloudy,87.0,216.0,77.0,3.38,1.55,0.247
0,0.1986,Player_032,2023-07-22,2023,L,L,2,Cloudy,63.0,210.0,71.0,3.51,1.54,0.239
0,0.1755,Player_019,2022-06-10,2022,R,L,5,Sunny,90.0,230.0,76.0,3.53,1.78,0.259
0,0.3561,Player_003,2023-05-31,2023,R,R,4,Drizzle,91.0,179.0,76.0,3.48,1.64,0.224
0,0.3173,Player_031,2024-06-04,2024,L,R,9,Sunny,63.0,196.0,71.0,3.64,1.66,0.28
0,0.2835,Player_034,2023-07-19,2023,R,L,4,Drizzle,81.0,200.0,70.0,3.36,1.61,0.282
0,0.2971,Player_018,2024-08-22,2024,R,R,5,Overcast,82.0,219.0,71.0,3.46,1.51,0.289
0,0.2929,Player_022,2022-06-06,2022,L,L,7,Cloudy,90.0,203.0,76.0,3.41,1.52,0.222
0,0.2672,Player_034,2022-07-14,2022,L,R,9,Sunny,58.0,206.0,70.0,3.32,1.5,0.238
1,0.2356,Player_005,2023-06-14,2023,R,L,5,Sunny,64.0,234.0,74.0,3.44,1.66,0.297
0,0.3815,Player_032,2023-07-19,2023,L,R,8,Sunny,89.0,175.0,77.0,3.59,1.56,0.277
0,0.369,Player_020,2024-08-25,2024,L,L,2,Cloudy,56.0,233.0,72.0,3.51,1.62,0.221
0,0.2145,Player_027,2024-06-13,2024,L,R,9,Sunny,74.0,193.0,74.0,3.47,1.64,0.293
0,0.2654,Player_007,2024-06-10,2024,R,R,2,Sunny,66.0,177.0,70.0,3.49,1.66,
0,0.3087,Player_024,2023-05-07,2023,R,L,7,Cloudy,79.0,209.0,77.0,3.43,1.77,0.246
1,0.4117,Player_010,2023-06-29,2023,R,R,5,Sunny,73.0,188.0,74.0,3.35,1.51,0.295
0,0.3747,Player_020,2024-06-21,2024,R,L,6,Sunny,89.0,222.0,75.0,3.54,1.65,0.256
0,0.2243,Player_020,2024-04-28,2024,R,R,1,Cloudy,58.0,224.0,72.0,3.63,1.54,0.265
0,0.3693,Player_038,2024-09-21,2024,R,R,5,Sunny,75.0,201.0,75.0,3.62,1.78,0.306
1,0.3041,Player_026,2023-09-02,2023,L,R,1,Sunny,75.0,225.0,75.0,3.39,1.78,0.235
1,0.3431,Player_022,2024-05-22,2024,L,L,5,Sunny,75.0,187.0,71.0,3.47,1.54,0.277
1,0.3052,Player_016,2022-09-17,2022,R,L,4,Cloudy,58.0,196.0,74.0,3.52,1.54,0.23
0,0.1615,Player_013,2024-05-18,2024,R,L,2,Drizzle,73.0,178.0,70.0,3.62,1.53,0.318
1,0.3185,Player_026,2024-06-14,2024,R,R,5,Sunny,90.0,216.0,75.0,3.38,1.53,0.251
0,0.3204,Player_035,2024-04-23,2024,R,L,2,Cloudy,79.0,221.0,77.0,3.35,1.55,0.311
0,0.2786,Player_022,2022-07-20,2022,R,R,1,Sunny,59.0,224.0,76.0,3.67,1.55,0.257
1,0.2628,Player_026,2024-06-25,2024,R,R,1,Cloudy,83.0,198.0,73.0,3.36,1.55,0.305
0,0.17,Player_013,2022-05-19,2022,R,R,4,Sunny,92.0,229.0,77.0,3.7,1.54,0.296
1,0.3479,Player_022,2023-05-22,2023,L,R,7,Overcast,,217.0,77.0,3.54,1.61,0.243
0,0.2846,Player_022,2024-09-15,2024,L,L,6,Cloudy,58.0,212.0,73.0,3.5,1.58,0.285
0,0.2354,Player_027,2023-08-02,2023,L,R,2,Cloudy,56.0,189.0,72.0,3.38,1.63,0.243
0,0.2472,Player_012,2023-04-28,2023,L,L,4,Sunny,62.0,229.0,71.0,3.64,1.77,0.222
1,0.3108,Player_013,2024-04-24,2024,L,R,6,Overcast,68.0,224.0,74.0,3.37,1.61,0.25
0,0.2409,Player_014,2024-04-12,2024,R,R,3,Sunny,,231.0,73.0,3.46,1.59,
1,0.3002,Player_016,2023-05-15,2023,L,R,2,Cloudy,72.0,197.0,74.0,3.32,1.77,0.238
0,0.1775,Player_011,2023-08-11,2023,L,R,3,Overcast,93.0,210.0,77.0,3.31,1.6,0.283
1,0.3645,Player_007,2024-04-11,2024,L,L,1,Cloudy,58.0,178.0,70.0,3.59,1.54,0.296
0,0.3011,Player_020,2023-05-15,2023,L,R,3,Overcast,85.0,213.0,72.0,3.38,1.69,0.251
0,0.173,Player_034,2022-04-08,2022,R,L,5,Cloudy,85.0,208.0,74.0,3.54,1.58,0.23
0,0.1078,Player_001,2023-07-26,2023,R,R,8,Overcast,93.0,228.0,75.0,3.59,1.66,0.28
0,0.352,Player_026,2024-08-24,2024,R,R,8,Sunny,75.0,222.0,77.0,3.5,1.73,0.233
0,0.2891,Player_032,2022-07-05,2022,R,L,7,Sunny,79.0,239.0,76.0,3.56,1.67,0.22
0,0.3147,Player_032,2022-09-11,2022,L,R,4,Cloudy,55.0,235.0,73.0,3.4,1.74,0.233
0,0.3405,Player_034,2024-08-01,2024,R,R,9,Cloudy,90.0,185.0,74.0,3.63,1.6,0.247
1,0.3303,Player_012,2024-08-15,2024,L,L,9,Cloudy,80.0,238.0,73.0,3.38,1.55,0.288
0,0.3136,Player_004,2023-05-27,2023,L,R,4,Cloudy,83.0,176.0,70.0,3.54,1.62,0.253
1,0.2822,Player_039,2024-09-02,2024,L,R,1,Cloudy,68.0,204.0,75.0,3.63,1.62,0.312
0,0.2508,Player_027,2024-07-22,2024,R,R,4,Sunny,58.0,235.0,76.0,3.62,1.71,0.294
1,0.3095,Player_014,2023-04-16,2023,R,R,5,Sunny,84.0,214.0,76.0,3.32,1.71,0.319
0,0.3978,Player_034,2022-04-15,2022,L,R,7,Drizzle,84.0,239.0,72.0,3.45,1.59,0.287
0,0.2428,Player_014,2023-09-09,2023,R,L,2,Sunny,62.0,211.0,76.0,3.64,1.78,0.222
0,0.4034,Player_029,2024-05-19,2024,L,R,5,Sunny,87.0,219.0,71.0,3.64,1.58,0.235
0,0.3061,Player_038,2024-06-22,2024,R,R,3,Cloudy,55.0,209.0,73.0,3.55,1.8,0.247
0,0.3266,Player_030,2022-08-15,2022,L,R,5,Sunny,81.0,235.0,72.0,3.34,1.51,0.29
0,0.4684,Player_026,2024-08-16,2024,L,R,1,Sunny,58.0,182.0,73.0,3.46,1.7,0.285
1,0.4157,Player_007,2024-04-04,2024,L,R,5,Cloudy,85.0,200.0,77.0,3.68,1.69,0.241
0,0.3975,Player_037,2023-07-20,2023,R,R,1,Sunny,72.0,218.0,73.0,3.34,1.68,0.29
0,0.2442,Player_017,2024-09-11,2024,L,R,8,Drizzle,68.0,207.0,76.0,3.62,1.73,0.248
1,0.4535,Player_024,2024-06-01,2024,L,R,7,Overcast,84.0,237.0,77.0,3.47,1.68,0.287
0,0.2942,Player_024,2024-07-06,2024,L,R,9,Cloudy,87.0,212.0,71.0,3.6,1.68,0.251
0,0.2641,Player_009,2024-05-17,2024,S,R,6,Drizzle,,183.0,77.0,3.32,1.76,0.241
1,0.1289,Player_024,2022-08-08,2022,R,R,9,Sunny,84.0,214.0,70.0,3.3,1.56,0.269
1,0.2728,Player_015,2024-04-21,2024,R,L,2,Sunny,55.0,195.0,74.0,3.42,1.66,0.318
1,0.1942,Player_013,2023-07-03,2023,L,L,1,Cloudy,87.0,205.0,73.0,3.65,1.71,0.285
1,0.3086,Player_034,2024-06-13,2024,S,R,9,Cloudy,78.0,180.0,72.0,3.57,1.59,0.255
0,0.1987,Player_028,2024-07-24,2024,R,R,6,Sunny,61.0,231.0,75.0,3.54,1.57,0.272
0,0.4058,Player_019,2024-06-27,2024,R,R,7,Sunny,74.0,201.0,77.0,3.7,1.54,0.264
0,0.3086,Player_000,2024-09-23,2024,L,L,3,Sunny,80.0,227.0,70.0,3.44,1.58,0.223
1,0.4296,Player_028,2024-09-23,2024,L,L,4,Sunny,86.0,206.0,71.0,3.64,1.7,0.287
1,0.2284,Player_029,2022-05-22,2022,L,R,7,Sunny,75.0,236.0,74.0,3.34,1.68,0.241
0,0.3884,Player_006,2023-04-07,2023,R,R,4,Drizzle,65.0,198.0,70.0,3.37,1.55,0.273
0,0.1238,Player_030,2022-06-28,2022,R,L,1,Overcast,65.0,181.0,72.0,3.49,1.65,0.227
0,0.3146,Player_015,2024-07-15,2024,L,R,3,Cloudy,83.0,205.0,73.0,3.68,1.56,0.299
0,0.2558,Player_029,2023-08-14,2023,L,R,4,Sunny,89.0,177.0,73.0,3.58,1.78,0.222
1,0.2486,Player_033,2023-07-04,2023,R,R,8,Sunny,80.0,227.0,75.0,3.35,1.72,0.252
0,0.2338,Player_028,2022-07-15,2022,L,L,4,Sunny,86.0,234.0,73.0,3.68,1.55,0.258
0,0.216,Player_037,2023-04-05,2023,R,R,5,Cloudy,79.0,188.0,70.0,3.61,1.59,0.297
1,0.1918,Player_003,2023-08-16,2023,R,R,6,Overcast,74.0,178.0,75.0,3.59,1.76,0.317
0,0.249,Player_012,2024-05-29,2024,R,R,2,Sunny,71.0,224.0,72.0,3.52,1.67,
0,0.2781,Player_002,2024-06-08,2024,L,L,6,Drizzle,74.0,219.0,70.0,3.46,1.61,0.234
0,0.3615,Player_006,2023-06-16,2023,R,R,2,Overcast,55.0,226.0,76.0,3.34,1.68,0.282
0,0.3007,Player_014,2024-04-12,2024,R,R,8,Sunny,78.0,212.0,73.0,3.55,1.62,0.242
0,0.3617,Player_000,2022-06-28,2022,R,R,3,Drizzle,62.0,212.0,75.0,3.35,1.77,0.222
0,0.1965,Player_015,2022-06-08,2022,L,R,3,Sunny,91.0,192.0,75.0,3.54,1.76,0.243
0,0.2697,Player_005,2023-05-13,2023,L,R,4,Drizzle,88.0,195.0,70.0,3.52,1.55,0.243
0,0.3498,Player_004,2024-05-14,2024,L,R,4,Cloudy,74.0,216.0,76.0,3.54,1.7,0.275
0,0.274,Player_033,2022-04-07,2022,R,L,6,Sunny,79.0,235.0,71.0,3.63,1.75,0.265
0,0.2397,Player_029,2022-09-07,2022,L,R,7,Sunny,56.0,195.0,75.0,3.46,1.56,0.253
1,0.3354,Player_018,2023-05-23,2023,L,L,9,Cloudy,78.0,198.0,75.0,3.47,1.76,0.249
0,0.2628,Player_022,2022-09-05,2022,L,R,8,Overcast,89.0,213.0,70.0,3.32,1.63,0.247
0,0.2256,Player_011,2023-08-29,2023,R,R,3,Overcast,76.0,178.0,70.0,3.42,1.59,0.306
1,0.3041,Player_019,2023-06-22,2023,L,L,6,Sunny,89.0,217.0,76.0,3.33,1.8,0.266
0,0.2504,Player_031,2024-08-23,2024,R,L,3,Overcast,58.0,183.0,70.0,3.36,1.71,0.305
0,0.2134,Player_020,2023-05-09,2023,R,L,8,Sunny,93.0,219.0,71.0,3.47,1.59,0.32
1,0.261,Player_031,2022-05-03,2022,L,R,1,Sunny,68.0,232.0,77.0,3.46,1.66,0.27
0,0.2051,Player_019,2022-09-09,2022,R,R,9,Sunny,56.0,234.0,70.0,3.67,1.69,0.313
0,0.2723,Player_014,2022-07-26,2022,L,R,4,Overcast,79.0,184.0,74.0,3.35,1.71,0.237
1,0.327,Player_035,2024-08-02,2024,S,L,7,Cloudy,79.0,213.0,72.0,3.36,1.56,0.251
0,0.2671,Player_036,2023-09-14,2023,R,L,7,Sunny,60.0,204.0,73.0,3.6,1.68,0.286
0,0.3171,Player_009,2022-04-03,2022,R,L,4,Cloudy,68.0,206.0,71.0,3.31,1.75,0.244
0,0.3361,Player_018,2024-04-30,2024,L,R,9,Overcast,91.0,219.0,74.0,3.56,1.74,0.279
0,0.2371,Player_030,2024-09-20,2024,R,R,3,Sunny,,239.0,72.0,3.6,1.59,0.31
1,0.1646,Player_010,2022-04-24,2022,R,R,7,Sunny,57.0,212.0,75.0,3.55,1.79,0.317
0,0.2151,Player_029,2022-06-20,2022,R,R,9,Sunny,87.0,211.0,76.0,3.42,1.5,0.273
0,0.233,Player_035,2024-04-03,2024,R,R,2,Sunny,82.0,217.0,73.0,3.34,1.73,0.294
0,0.2276,Player_009,2024-05-28,2024,R,R,9,Sunny,,207.0,70.0,3.7,1.6,0.28
1,0.3687,Player_006,2024-05-01,2024,L,R,9,Overcast,67.0,197.0,75.0,3.64,1.78,0.262
0,0.3679,Player_037,2022-05-17,2022,L,R,4,Sunny,89.0,228.0,73.0,3.59,1.76,0.256
0,0.4348,Player_039,2024-08-24,2024,R,R,8,Overcast,89.0,218.0,75.0,3.37,1.76,0.281
0,0.2465,Player_034,2022-05-20,2022,L,R,1,Drizzle,55.0,211.0,76.0,3.47,1.58,0.255
0,0.3818,Player_024,2023-08-25,2023,L,L,2,Sunny,88.0,175.0,71.0,3.58,1.74,0.295
0,0.3914,Player_003,2024-09-08,2024,R,R,7,Sunny,73.0,192.0,70.0,3.34,1.6,0.233
1,0.2337,Player_036,2024-07-06,2024,R,L,9,Sunny,68.0,192.0,73.0,3.68,1.63,0.292
0,0.3331,Player_007,2022-07-06,2022,L,R,2,Cloudy,68.0,217.0,77.0,3.68,1.77,0.271
0,0.3369,Player_007,2022-05-31,2022,R,L,7,Sunny,73.0,183.0,72.0,3.36,1.72,0.228
0,0.2659,Player_028,2024-07-29,2024,L,L,1,Cloudy,77.0,199.0,73.0,3.38,1.69,0.304
0,0.2405,Player_015,2022-08-24,2022,R,L,8,Overcast,93.0,204.0,76.0,3.45,1.54,0.275
0,0.2561,Player_034,2023-09-03,2023,L,R,9,Overcast,56.0,223.0,76.0,3.48,1.66,0.293
1,0.1148,Player_034,2022-05-06,2022,R,R,5,Cloudy,79.0,184.0,76.0,3.48,1.54,0.232
0,0.2849,Player_032,2022-08-02,2022,R,R,1,Overcast,57.0,214.0,77.0,3.58,1.52,0.236
1,0.2303,Player_033,2024-04-25,2024,R,R,2,Drizzle,55.0,210.0,76.0,3.49,1.78,0.308
0,0.2247,Player_021,2022-06-28,2022,L,R,5,Cloudy,,223.0,71.0,3.37,1.68,0.267
0,0.3096,Player_034,2023-04-17,2023,R,R,8,Sunny,86.0,186.0,73.0,3.4,1.5,0.25
0,0.1684,Player_036,2024-07-08,2024,L,L,5,Overcast,68.0,213.0,76.0,3.46,1.64,0.272
0,0.3564,Player_011,2022-09-01,2022,L,R,5,Overcast,69.0,201.0,74.0,3.51,1.59,0.257
0,0.3139,Player_017,2023-08-26,2023,R,R,6,Cloudy,91.0,191.0,71.0,3.67,1.55,0.317
1,0.272,Player_024,2023-08-07,2023,L,R,9,Cloudy,66.0,179.0,75.0,3.34,1.75,0.24
1,0.2756,Player_034,2024-07-12,2024,R,R,8,Sunny,85.0,199.0,71.0,3.62,1.55,0.273
1,0.1967,Player_015,2024-07-21,2024,R,R,2,Cloudy,88.0,203.0,72.0,3.42,1.55,0.253
1,0.3225,Player_010,2024-04-17,2024,L,L,2,Overcast,80.0,178.0,77.0,3.59,1.57,0.237
0,0.2931,Player_012,2023-08-09,2023,S,R,4,Overcast,93.0,227.0,77.0,3.4,1.71,0.288
0,0.3183,Player_031,2024-07-31,2024,L,R,3,Sunny,94.0,219.0,70.0,3.45,1.56,0.234
0,0.3151,Player_020,2023-04-26,2023,R,R,7,Sunny,57.0,195.0,73.0,3.48,1.6,0.247
1,0.255,Player_010,2023-07-23,2023,L,R,9,Sunny,61.0,178.0,72.0,3.6,1.77,0.269
0,0.1437,Player_028,2022-06-09,2022,R,L,6,Sunny,70.0,220.0,74.0,3.37,1.67,0.262
0,0.337,Player_026,2022-07-01,2022,L,L,9,Overcast,,176.0,76.0,3.44,1.55,0.311
0,0.3182,Player_020,2022-08-25,2022,L,L,4,Sunny,66.0,202.0,76.0,3.51,1.76,0.285
0,0.2325,Player_024,2022-05-28,2022,L,L,7,Overcast,80.0,188.0,71.0,3.56,1.65,0.227
1,0.2786,Player_009,2024-09-12,2024,S,L,7,Cloudy,90.0,190.0,75.0,3.33,1.75,0.234
0,0.3681,Player_007,2024-06-14,2024,R,R,3,Cloudy,55.0,224.0,70.0,3.34,1.52,0.279
0,0.3597,Player_032,2022-07-02,2022,R,R,7,Cloudy,89.0,194.0,74.0,3.59,1.55,0.243
1,0.2405,Player_027,2024-04-05,2024,R,R,5,Overcast,74.0,190.0,74.0,3.45,1.53,0.24
0,0.1758,Player_039,2024-04-21,2024,R,R,6,Sunny,91.0,194.0,73.0,3.37,1.64,0.319
0,0.1578,Player_037,2023-05-21,2023,R,L,3,Sunny,82.0,184.0,77.0,3.41,1.62,0.291
0,0.2782,Player_014,2024-09-23,2024,L,R,3,Cloudy,56.0,223.0,75.0,3.54,1.62,0.25
0,0.3524,Player_018,2024-05-16,2024,R,L,8,Sunny,91.0,207.0,77.0,3.68,1.61,0.223
0,0.229,Player_033,2023-06-11,2023,R,R,6,Sunny,57.0,188.0,73.0,3.59,1.63,0.3
0,0.2283,Player_000,2022-09-01,2022,L,L,2,Drizzle,65.0,195.0,73.0,3.62,1.61,0.278
0,0.2568,Player_034,2022-05-28,2022,L,R,5,Cloudy,77.0,238.0,74.0,3.54,1.55,0.251
0,0.2428,Player_006,2024-08-24,2024,R,R,6,Sunny,91.0,212.0,71.0,3.45,1.67,0.273
0,0.2992,Player_010,2022-04-22,2022,L,R,8,Cloudy,61.0,219.0,76.0,3.68,1.76,
1,0.1904,Player_019,2022-04-24,2022,R,R,8,Sunny,76.0,230.0,72.0,3.33,1.8,0.226
0,0.3759,Player_028,2022-04-03,2022,L,R,6,Sunny,,201.0,70.0,3.62,1.54,0.293
0,0.2599,Player_014,2023-04-23,2023,L,L,1,Sunny,68.0,197.0,73.0,3.4,1.62,0.306
0,0.4535,Player_037,2023-07-18,2023,R,R,5,Sunny,65.0,239.0,75.0,3.54,1.57,0.272
0,0.2179,Player_031,2024-04-16,2024,L,R,2,Sunny,72.0,211.0,74.0,3.69,1.67,0.316
1,0.4113,Player_029,2023-07-20,2023,L,R,1,Cloudy,83.0,189.0,70.0,3.64,1.61,0.243
0,0.3774,Player_030,2024-07-16,2024,R,R,9,Sunny,83.0,230.0,70.0,3.64,1.76,0.292
0,0.2512,Player_001,2023-05-13,2023,R,R,2,Sunny,81.0,224.0,75.0,3.63,1.78,0.262
0,0.2723,Player_032,2023-04-07,2023,L,R,3,Sunny,56.0,201.0,77.0,3.48,1.6,0.258
1,0.2355,Player_024,2022-04-30,2022,L,R,4,Sunny,86.0,192.0,71.0,3.46,1.61,0.284
0,0.1863,Player_007,2022-04-26,2022,R,L,5,Cloudy,80.0,217.0,77.0,3.51,1.66,0.281
1,0.25,Player_031,2024-07-04,2024,S,L,6,Sunny,57.0,210.0,73.0,3.41,1.69,0.257
0,0.2514,Player_004,2024-09-14,2024,R,L,3,Cloudy,92.0,190.0,71.0,3.49,1.73,0.258
0,0.1878,Player_024,2023-06-18,2023,L,R,8,Sunny,85.0,178.0,72.0,3.35,1.53,0.268
0,0.4305,Player_022,2024-07-23,2024,L,L,2,Sunny,82.0,228.0,77.0,3.66,1.52,0.319
0,0.2518,Player_001,2024-05-24,2024,L,L,9,Cloudy,74.0,230.0,72.0,3.59,1.7,0.3
0,0.2746,Player_014,2022-04-17,2022,L,L,8,Cloudy,86.0,233.0,76.0,3.32,1.64,0.257
0,0.2362,Player_004,2023-05-10,2023,R,R,6,Cloudy,67.0,198.0,75.0,3.56,1.7,0.256
0,0.2513,Player_037,2024-06-25,2024,L,L,1,Sunny,83.0,220.0,76.0,3.6,1.59,0.31
0,0.2249,Player_032,2024-09-01,2024,R,L,7,Sunny,79.0,212.0,73.0,3.64,1.55,0.298
0,0.2798,Player_039,2022-05-15,2022,R,R,7,Cloudy,79.0,192.0,70.0,3.43,1.53,0.285
0,0.249,Player_019,2022-09-25,2022,R,L,6,Drizzle,86.0,235.0,73.0,3.55,1.74,0.291
0,0.3563,Player_013,2023-07-24,2023,L,R,3,Sunny,61.0,196.0,77.0,3.41,1.62,0.226
0,0.2959,Player_038,2022-06-04,2022,R,R,4,Cloudy,59.0,176.0,77.0,3.64,1.52,0.229
0,0.3293,Player_012,2022-07-22,2022,R,R,4,Sunny,77.0,185.0,73.0,3.65,1.57,0.252
0,0.2793,Player_016,2023-08-04,2023,R,R,6,Drizzle,87.0,237.0,70.0,3.33,1.76,0.267
0,0.3162,Player_005,2023-08-02,2023,L,R,3,Sunny,65.0,179.0,71.0,3.41,1.64,0.291
0,0.2531,Player_032,2022-09-03,2022,L,L,4,Sunny,77.0,209.0,73.0,3.34,1.76,0.298
0,0.3202,Player_004,2023-07-29,2023,R,L,9,Sunny,93.0,206.0,77.0,3.46,1.78,0.308
0,0.2926,Player_001,2022-04-05,2022,L,L,5,Cloudy,79.0,225.0,74.0,3.3,1.52,0.247
1,0.2589,Player_033,2023-06-07,2023,L,L,6,Cloudy,58.0,228.0,73.0,3.61,1.78,0.295
0,0.2668,Player_033,2024-09-10,2024,R,R,9,Cloudy,90.0,205.0,76.0,3.47,1.61,0.319
0,0.2424,Player_034,2024-05-07,2024,R,L,9,Cloudy,94.0,216.0,71.0,3.51,1.71,0.241
0,0.2521,Player_034,2022-06-29,2022,S,L,6,Sunny,83.0,228.0,72.0,3.6,1.62,0.227
1,0.2961,Player_005,2024-06-29,2024,L,R,3,Sunny,79.0,227.0,75.0,3.58,1.68,0.31
0,0.2409,Player_014,2024-07-09,2024,R,R,1,Overcast,78.0,232.0,73.0,3.43,1.7,0.233
1,0.3235,Player_030,2023-09-04,2023,L,L,8,Sunny,79.0,220.0,74.0,3.61,1.54,0.292
0,0.308,Player_012,2024-07-06,2024,R,L,5,Sunny,68.0,199.0,76.0,3.56,1.63,0.259
0,0.3749,Player_031,2022-04-01,2022,R,L,6,Sunny,80.0,211.0,75.0,3.39,1.56,0.256
0,0.2277,Player_036,2022-05-14,2022,L,L,9,Sunny,75.0,221.0,74.0,3.31,1.54,0.314
0,0.3467,Player_038,2024-07-22,2024,L,R,4,Sunny,86.0,194.0,70.0,3.6,1.68,0.255
1,0.1664,Player_031,2023-08-19,2023,L,R,1,Cloudy,88.0,239.0,76.0,3.37,1.7,0.261
0,0.338,Player_031,2023-07-26,2023,S,R,7,Cloudy,83.0,203.0,70.0,3.35,1.58,0.222
0,0.178,Player_023,2022-08-10,2022,R,R,9,Sunny,94.0,224.0,70.0,3.47,1.5,0.238
1,0.2111,Player_003,2022-05-14,2022,R,R,2,Sunny,72.0,207.0,71.0,3.67,1.79,0.256
0,0.3033,Player_017,2022-04-18,2022,R,R,9,Overcast,85.0,237.0,72.0,3.59,1.64,0.287
1,0.2065,Player_038,2022-09-18,2022,R,L,5,Overcast,68.0,218.0,76.0,3.62,1.7,0.226
0,0.1969,Player_036,2024-07-10,2024,R,L,6,Overcast,86.0,222.0,74.0,3.41,1.52,0.255
0,0.2661,Player_009,2022-08-11,2022,L,R,9,Sunny,65.0,225.0,77.0,3.63,1.69,0.257
0,0.3511,Player_029,2024-09-19,2024,L,R,3,Drizzle,82.0,196.0,70.0,3.47,1.73,0.299
0,0.1847,Player_012,2022-05-03,2022,R,L,7,Overcast,55.0,197.0,77.0,3.69,1.51,0.247
0,0.2462,Player_016,2023-09-04,2023,R,L,1,Sunny,85.0,228.0,73.0,3.53,1.66,0.309
